response.url;result.mixed_content_url;result.canonical;result.is_canonical;previousUrl;depth;result.error;response.status;result.x_cache;result.request_time;result.redirected_from;result.redirects;result.title;result.h1;result.page_date;result.description;result.keywords;result.og_title;result.og_image;result.schema_types;result.h1_count;result.h2_count;result.h3_count;result.h4_count;result.canonical_count;result.google_amp;result.images;result.images_without_alt;result.images_alt_empty;result.images_outer;result.links;result.links_inner;result.links_outer;result.text_ratio_percent;result.dom_size;result.html_size;readability_length;readability_words;readability_minutes;readability_links;readability_links_inner;readability_links_outer;links_anchors;readability_images;readability_images_png;readability_images_png_links;yake_keywords;yake_detectedLanguage;lighthouse.scores.performance;lighthouse.scores.pwa;lighthouse.scores.accessibility;lighthouse.scores.best-practices;lighthouse.scores.seo;lighthouse.first-contentful-paint;lighthouse.speed-index;lighthouse.largest-contentful-paint;lighthouse.interactive;lighthouse.total-blocking-time;lighthouse.cumulative-layout-shift;lighthouse.first-cpu-idle;lighthouse.max-potential-fid;lighthouse.first-meaningful-paint;lighthouse.estimated-input-latency;lighthouse.render-blocking-resources;lighthouse.uses-responsive-images;lighthouse.offscreen-images;lighthouse.unminified-css;lighthouse.unminified-javascript;lighthouse.unused-css-rules;lighthouse.unused-javascript;lighthouse.uses-optimized-images;lighthouse.uses-webp-images;lighthouse.uses-text-compression;lighthouse.uses-rel-preconnect;lighthouse.server-response-time;lighthouse.redirects;lighthouse.uses-rel-preload;lighthouse.uses-http2;lighthouse.efficient-animated-content;lighthouse.duplicated-javascript;lighthouse.legacy-javascript;lighthouse.total-byte-weight;lighthouse.uses-long-cache-ttl;lighthouse.dom-size;lighthouse.critical-request-chains;lighthouse.user-timings;lighthouse.bootup-time;lighthouse.mainthread-work-breakdown;lighthouse.font-display;lighthouse.performance-budget;lighthouse.timing-budget;lighthouse.resource-summary;lighthouse.third-party-summary;lighthouse.largest-contentful-paint-element;lighthouse.layout-shift-elements;lighthouse.uses-passive-event-listeners;lighthouse.no-document-write;lighthouse.long-tasks;lighthouse.non-composited-animations;lighthouse.unsized-images;lighthouse.network-requests;lighthouse.network-rtt;lighthouse.network-server-latency;lighthouse.main-thread-tasks;lighthouse.diagnostics;lighthouse.metrics;lighthouse.screenshot-thumbnails;lighthouse.final-screenshot;lighthouse.accesskeys;lighthouse.aria-allowed-attr;lighthouse.aria-hidden-body;lighthouse.aria-hidden-focus;lighthouse.aria-input-field-name;lighthouse.aria-required-attr;lighthouse.aria-required-children;lighthouse.aria-required-parent;lighthouse.aria-roles;lighthouse.aria-toggle-field-name;lighthouse.aria-valid-attr-value;lighthouse.aria-valid-attr;lighthouse.button-name;lighthouse.bypass;lighthouse.color-contrast;lighthouse.definition-list;lighthouse.dlitem;lighthouse.document-title;lighthouse.duplicate-id-active;lighthouse.duplicate-id-aria;lighthouse.form-field-multiple-labels;lighthouse.frame-title;lighthouse.heading-order;lighthouse.html-has-lang;lighthouse.html-lang-valid;lighthouse.image-alt;lighthouse.input-image-alt;lighthouse.label;lighthouse.layout-table;lighthouse.link-name;lighthouse.list;lighthouse.listitem;lighthouse.meta-refresh;lighthouse.meta-viewport;lighthouse.object-alt;lighthouse.tabindex;lighthouse.td-headers-attr;lighthouse.th-has-data-cells;lighthouse.valid-lang;lighthouse.video-caption;lighthouse.video-description;lighthouse.logical-tab-order;lighthouse.focusable-controls;lighthouse.interactive-element-affordance;lighthouse.managed-focus;lighthouse.focus-traps;lighthouse.custom-controls-labels;lighthouse.custom-controls-roles;lighthouse.visual-order-follows-dom;lighthouse.offscreen-content-hidden;lighthouse.use-landmarks;lighthouse.is-on-https;lighthouse.external-anchors-use-rel-noopener;lighthouse.geolocation-on-start;lighthouse.notification-on-start;lighthouse.no-vulnerable-libraries;lighthouse.password-inputs-can-be-pasted-into;lighthouse.image-aspect-ratio;lighthouse.image-size-responsive;lighthouse.doctype;lighthouse.charset;lighthouse.no-unload-listeners;lighthouse.appcache-manifest;lighthouse.js-libraries;lighthouse.deprecations;lighthouse.errors-in-console;lighthouse.viewport;lighthouse.meta-description;lighthouse.http-status-code;lighthouse.link-text;lighthouse.crawlable-anchors;lighthouse.is-crawlable;lighthouse.robots-txt;lighthouse.hreflang;lighthouse.canonical;lighthouse.font-size;lighthouse.plugins;lighthouse.tap-targets;lighthouse.structured-data;lighthouse.load-fast-enough-for-pwa;lighthouse.works-offline;lighthouse.offline-start-url;lighthouse.service-worker;lighthouse.installable-manifest;lighthouse.redirects-http;lighthouse.splash-screen;lighthouse.themed-omnibox;lighthouse.content-width;lighthouse.without-javascript;lighthouse.apple-touch-icon;lighthouse.maskable-icon;lighthouse.pwa-cross-browser;lighthouse.pwa-page-transitions;lighthouse.pwa-each-page-has-url
https://flybitlux.com/;;https://flybitlux.com/;0;;1;;200;0;139;;0;Private Jet Charter | Private Jet Rental | BitLux;Private Jet Charter;;Bitlux is a private jet rental company that offers private jet charter with the highest standards of safety & luxury. Call now & take your next flight in style.;;Private Jet Charter | Private Jet Rental Company | BitLux;https://flybitlux.com/wp-content/uploads/2024/11/social-share-image.jpg;;1;10;22;14;1;0;19;0;3;0;237;227;4;6;1526;693390;;;;;;;;;;;;;NaN;0;0;100;0;2278;3353;;2578;1;1;;41;2578;;;;;;;;;;;;;23;1;;;;;;1622342;4636;1845;1;;140;978;1;;;1;1;;;1;1;1;;1;1;175;28;1;1;2579;1;1;;1;1;1;;1;;;1;;1;1;1;;0;;;1;;;;;0;1;1;1;;;;0;1;1;;1;;1;;;;;;;;;;;;;;;;1;;1;1;;;1;1;1;1;1;;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;;;;;;1;;0;0;1;;;0;;;
https://flybitlux.com/about/services/;;https://flybitlux.com/about/services/;1;https://flybitlux.com/#booking;2;;200;0;45;;0;Services | Bitlux;Services We Offer;;Experience the convenience and luxury of private jet charter. With reliable and secure aircraft, you can book a wide variety of flights. Book with Bitlux now.;;Services | Bitlux;https://flybitlux.com/wp-content/uploads/2024/11/social-share-image.jpg;;1;5;3;6;1;0;5;0;3;0;225;217;4;3;945;558698;;;;;;;;;;;;;0;0;0;100;0;2279;2279;4380;2579;1;0;;49;2579;;1134;1;1;1;1;150;1;1;;1;1;32;1;;1;1;1;0.5;1203285;4534;1272;1;;98;549;1;;;1;1;0;1;1;1;1;;1;1;0;178;1;1;2579;1;1;;1;1;1;;1;;;1;;1;1;1;;0;;;1;;;;;1;1;1;1;;;;0;1;1;;1;;1;;;;;;;;;;;;;;;;1;;1;1;;;1;1;1;1;1;;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;;;;;;1;;0;0;1;;;0;;;
https://flybitlux.com/book-your-flight/;;;;https://flybitlux.com/#booking;2;;200;0;45;;0;Book Your Flight | BitLux;Book A Private Jet Charter Anywhere In The World;;Get a quotes for private & executive air charter flights. BitLux offers the best price, service and aircraft worldwide. 1-866-451-0599;;Book Your Flight | BitLux;https://flybitlux.com/wp-content/uploads/2024/11/social-share-image.jpg;;1;8;6;5;0;0;11;0;3;0;240;232;4;2;1217;624079;;;;;;;;;;;;;0;0;0;100;0;2129;2129;2804;2319;8;0;;66;2279;;937;1;1;1;1;0;1;1;;1;1;36;1;;1;1;1;0.5;298999;4527;1545;1;;102;737;1;;;1;1;0;1;1;1;1;;1;1;0;176;1;1;2320;1;1;;1;1;1;;1;;;1;;1;1;1;;0;;;1;;;;;0;1;1;1;;;;0;1;1;;1;;1;;;;;;;;;;;;;;;;1;;1;1;;;1;1;1;1;1;;1;1;1;1;1;1;1;0;0;1;1;;1;1;1;;;;;;1;;0;0;1;;;0;;;
https://flybitlux.com/aircraft-management-and-placement/;;https://flybitlux.com/aircraft-management-and-placement/;1;https://flybitlux.com/#booking;2;;200;0;42;;0;Aircraft Management And Placement | BitLux;Aircraft Management;;BitLux Travel offers private aircraft management and jet placement services in many cities nationwide. Contact us today for a quote.;;Aircraft Management And Placement | BitLux;https://flybitlux.com/wp-content/uploads/2024/11/social-share-image.jpg;;1;3;4;6;1;0;5;0;3;0;218;208;4;4;935;545472;;;;;;;;;;;;;0;0;0;100;0;1852;1852;3029;2274;2;0;;54;1852;;695;1;1;1;1;300;1;1;;1;1;28;1;;1;1;1;0.5;542085;4598;1262;1;;145;606;1;;;1;1;0;1;1;1;1;1;1;1;0;189;1;1;2275;1;1;;1;1;1;;1;;;1;;1;1;1;;0;;;1;;;;;0;1;1;1;;;;0;1;1;;1;;1;;;;;;;;;;;;;;;;1;;1;1;;;1;1;1;1;1;;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;;;;;;1;;0;0;1;;;0;;;
https://flybitlux.com/cargo-jet-charter/;;https://flybitlux.com/cargo-jet-charter/;1;https://flybitlux.com/#booking;2;;200;0;46;;0;Cargo Jet Charter | Air Freight Services | BitLux;Bitlux Air Cargo Jet Charter;;We specialize in Air Cargo Jet Charters, supply chain logistics, air cargo logistics, and emergency cargo transport. Get a quote today.;;Cargo Jet Charter | Air Freight Services | BitLux;https://flybitlux.com/wp-content/uploads/2024/11/social-share-image.jpg;;1;9;7;12;1;0;11;0;3;0;215;207;4;6;1247;625920;;;;;;;;;;;;;0;0;0;100;0;2778;4067;5370;3738;34;1;;119;3117;;1649;1;600;1;1;150;1;1;;1;1;44;1;;1;1;1;0.5;567297;4528;1570;1;;149;720;1;;;1;1;0;;1;1;1;;1;1;0;176;1;1;3738;1;1;;1;1;1;;1;;;1;;1;1;1;;0;;;1;;;;;0;1;1;1;;1;;0;1;1;;1;;1;;;;;;;;;;;;;;;;1;;1;1;;;1;1;1;1;1;;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;;;;;;1;;0;0;1;;;0;;;
https://flybitlux.com/helicopter-charter/;;https://flybitlux.com/helicopter-charter/;1;https://flybitlux.com/#booking;2;;200;0;45;;0;Helicopter Charter Services | BitLux;Bitlux Helicopter Charter;;At BitLux, we continually keep record of all of our client preferences – from aircraft preferences, cargo dimensions, palletizing practices, load, handling preferences, and carrier preferences.;;Helicopter Charter Services | BitLux;https://flybitlux.com/wp-content/uploads/2024/11/social-share-image.jpg;;1;5;2;6;1;0;5;0;3;0;212;204;4;4;914;544029;;;;;;;;;;;;;0;0;0;100;0;2131;2131;3481;2131;1;0;;38;2131;;981;1;1;1;1;300;1;1;;1;1;59;1;;1;1;1;0.5;575084;4549;1241;1;;87;535;1;;;1;1;0;1;1;1;1;1;1;1;0;374;1;1;2131;1;1;;1;1;1;;1;;;1;;1;1;1;;0;;;1;;;;;0;1;1;1;;;;0;1;1;;1;;1;;;;;;;;;;;;;;;;1;;1;1;;;1;1;1;1;1;;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;;;;;;1;;0;0;1;;;0;;;
https://flybitlux.com/aircraft/;;https://flybitlux.com/aircraft/;1;https://flybitlux.com/#booking;2;;200;0;39;;0;Aircrafts Available | BitLux;Archives Aircrafts;;Explore our curated collection of exceptional aircraft, detailed specifications, amenities, and unique features that make each aircraft a masterpiece of aviation engineering.;;Aircrafts Available | BitLux;https://flybitlux.com/wp-content/uploads/2024/11/social-share-image.jpg;;1;1;44;5;1;0;47;0;21;0;378;370;4;2;2631;780998;;;;;;;;;;;;;0;0;0;100;0;2127;2127;2953;2127;1;0;;37;2127;;710;1;1;1;1;110;1;1;;1;1;25;1;;1;1;1;0.5;328624;4600;2964;1;;102;1721;1;;;1;1;0;1;1;1;1;;1;1;0;181;1;1;2128;1;1;;1;1;1;;1;;;1;;1;1;1;;0;;;1;;;;;0;1;1;1;;;;0;1;1;;1;;1;;;;;;;;;;;;;;;;1;;1;1;;;1;1;1;1;1;;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;;;;;;1;;0;0;1;;;0;;;
https://flybitlux.com/aircraft/learjet-35-charter/;;;;https://flybitlux.com/#booking;2;;200;0;47;;0;Learjet 35 Private Jet Charter | BitLux;Charter A Learjet 35;;The Learjet 35 is an upgrade to the ever-popular Learjet 25, one of the iconic personal jets produced since the 1970s. Book one today.;;Learjet 35 Private Jet Charter | BitLux;https://flybitlux.com/wp-content/uploads/2020/05/image-2-3.png;;1;7;7;5;0;0;15;0;3;0;219;211;4;4;1097;594788;;;;;;;;;;;;;0;0;0;100;0;2134;2134;5509;2134;1;0;;39;2134;;972;1;1;1;1;150;1;1;;1;1;26;1;;1;1;1;0.5;887000;4528;1424;1;;99;627;1;;;1;1;0;1;1;1;1;;1;1;0;176;1;1;2134;1;1;;1;1;1;;1;;;1;;1;1;1;;0;;;1;;;;;0;1;1;1;;;;0;1;1;;1;;1;1;;;;;;;;;;;;;;;1;;1;1;;;1;1;1;1;1;;1;1;1;1;1;1;1;0;0;1;1;;1;1;1;;;;;;1;;0;0;1;;;0;;;
https://flybitlux.com/aircraft/citation-cj3/;;;;https://flybitlux.com/#booking;2;;200;0;68;;0;Citation CJ3 Private Jet Charter | BitLux;Charter A Citation CJ3;;The Citation CJ3 is an executive light jet plane. The cabin can hold up to 8 passengers at one time. Book one today for private charter.;;Citation CJ3 Private Jet Charter | BitLux;https://flybitlux.com/wp-content/uploads/2019/07/cj3.jpg;;1;7;7;5;0;0;15;0;3;0;219;211;4;4;1100;595047;;;;;;;;;;;;;0;0;0;100;0;2127;2127;3553;2127;1;0;;36;2127;;961;0;1;1;1;0;1;1;;1;1;29;1;;1;1;1;0.5;438031;4527;1429;1;;87;589;1;;;1;1;0;1;1;1;1;;1;1;0;273;1;1;2128;1;1;;1;1;1;;1;;;1;;1;1;1;;0;;;1;;;;;0;1;1;1;;;;0;1;1;;1;;1;1;;;;;;;;;;;;;;;1;;1;1;;;1;1;1;1;1;;1;1;1;1;1;1;1;0;0;1;1;;1;1;1;;;;;;1;;0;0;1;;;0;;;
https://flybitlux.com/aircraft/citation-ultra/;;;;https://flybitlux.com/#booking;2;;200;0;49;;0;Citation Ultra Private Jet Charter | BitLux;Charter A Citation Ultra;;With a modern cabin and seating for up to eight passengers, the Citation Excel is sure to please. Book one for private jet charter today.;;Citation Ultra Private Jet Charter | BitLux;https://flybitlux.com/wp-content/uploads/2019/07/citultra.jpg;;1;7;7;5;0;0;15;0;3;0;219;211;4;4;1099;594613;;;;;;;;;;;;;0;0;0;100;0;2125;2125;3250;2125;1;0;;37;2125;;969;0.5;1;1;1;150;1;1;;1;1;36;1;;1;1;1;0.5;437109;4598;1426;1;;90;601;1;;;1;1;0;1;1;1;1;;1;1;0;176;1;1;2126;1;1;;1;1;1;;1;;;1;;1;1;1;;0;;;1;;;;;0;1;1;1;;;;0;1;1;;1;;1;1;;;;;;;;;;;;;;;1;;1;1;;;1;1;1;1;1;;1;1;1;1;1;1;1;0;0;1;1;;1;1;1;;;;;;1;;0;0;1;;;0;;;
